Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C14, C2, C5, C8, C9",0603,8,0.1uF,C14663
"C10, C12, C15, C6",0603,4,4.7uF,C19666
C3,1206,1,20uF,C5672
C4,1206,1,47uF,C96123
C7,0805,1,4.7uF,C1779
D1,D_SMA,1,D,C2480
D2,0603,1,LED,C72041
D3,0603,1,LED,C2290
F2,0805,1,Polyfuse,C883111
"R1, R10, R2, R3, R33, R34, R35, R36, R37, R38, R39, R4, R40, R5, R6, R7, R8, R9",0402,18,110,C25078
"R12, R13, R14, R15, R16, R17, R18, R19, R28, R29, R42",0402,11,1k,C11702
"R22, R23, R25, R56",0402,4,4.7k,C25900
R30,0402,1,470,C25117
SD2,TF-SMD_TF-06A,1,MicroSD-TF-06,C693844
U3,SOT-223-3_TabPin2,1,AMS1117-2.85,C14791
"U4, U9",TSSOP-20_4.4x6.5mm_P0.65mm,2,LVTH245,C2652121
"U5, U6, U7",TSSOP-14_4.4x5mm_P0.65mm,3,LVT125,C7042
U8,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC14,C5605
