Designator,Mid X,Mid Y,Rotation,Layer
C1,161.785,-79.375,180.0,top
C10,156.165,-120.65,0.0,top
C11,152.495,-110.49,0.0,top
C12,161.785,-82.55,180.0,top
C13,154.4,-95.25,180.0,top
C14,154.4,-87.63,180.0,top
C15,155.67,-110.49,0.0,top
C2,166.37,-106.045,0.0,top
C3,166.3158,-103.48,0.0,top
C4,167.005,-120.65,0.0,top
C5,166.325,-118.11,0.0,top
C6,151.13,-95.885,0.0,top
C7,165.1,-99.06,0.0,top
C8,152.355,-120.65,0.0,top
C9,154.4,-80.01,180.0,top
D1,153.13,-99.06,180.0,top
D2,170.815,-99.06,0.0,top
D3,170.815,-102.87,0.0,top
F2,159.48,-99.06,180.0,top
R1,142.24,-118.11,270.0,top
R10,139.7,-77.47,90.0,top
R12,160.02,-102.235,180.0,top
R13,160.02,-103.505,180.0,top
R14,160.02,-104.775,180.0,top
R15,160.02,-106.045,180.0,top
R16,160.02,-107.315,180.0,top
R17,160.02,-114.3,180.0,top
R18,160.02,-115.57,180.0,top
R19,160.02,-116.84,180.0,top
R2,138.43,-77.47,90.0,top
R22,160.655,-87.63,180.0,top
R23,160.655,-90.17,180.0,top
R25,160.02,-113.03,0.0,top
R28,160.655,-76.2,180.0,top
R29,160.53,-73.66,0.0,top
R3,140.97,-77.47,90.0,top
R30,170.815,-95.885,270.0,top
R33,140.97,-118.11,270.0,top
R34,139.7,-118.11,270.0,top
R35,138.43,-118.11,270.0,top
R36,148.59,-118.11,270.0,top
R37,147.32,-118.11,270.0,top
R38,146.05,-118.11,270.0,top
R39,144.78,-118.11,270.0,top
R4,142.24,-77.47,90.0,top
R40,143.51,-118.11,270.0,top
R42,160.02,-118.11,180.0,top
R5,144.78,-77.47,90.0,top
R56,170.18,-105.41,90.0,top
R6,148.59,-77.47,90.0,top
R7,147.32,-77.47,90.0,top
R8,146.05,-77.47,90.0,top
R9,143.51,-77.47,90.0,top
RP1,161.29,-97.79,180.0,bottom
SD2,168.4,-80.01,270.0,top
U3,167.64,-112.37,90.0,top
U4,154.4,-115.57,90.0,top
U5,154.4,-91.44,90.0,top
U6,154.4,-76.2,90.0,top
U7,154.4,-83.82,90.0,top
U8,166.37,-92.71,90.0,top
U9,154.4,-104.775,90.0,top
